Game ID	Total Reward
--------------------
0.0	-2551.6459728892164
1.0	-225.61922594011855
2.0	-1950.6403746949968
3.0	-306.47440270059474
4.0	-1079.1728676772211
5.0	-848.1530465040105
6.0	-1427.3124289259508
7.0	-937.0932855008181
8.0	-1569.1130865965447
9.0	-1277.3047810454632
10.0	-1224.3624744182323
11.0	-1661.4523942033481
12.0	-2928.6335802617446
13.0	-75.05136882707949
14.0	-3052.7265488577445
15.0	-1596.1019773744085
16.0	-2830.2671533644607
17.0	-1519.0088878711135
18.0	-2617.230987610169
19.0	-1414.3944356651853
20.0	-826.102854912453
21.0	-394.2261087135661
22.0	-1885.2180144707916
23.0	-455.6907394402049
24.0	-1030.3375286250453
25.0	-1358.7453284156488
26.0	-1950.732462436668
27.0	-2662.022746265646
28.0	459.85539601637447
29.0	-652.3341039169342
30.0	-518.3758733343758
31.0	-2831.611378239843
32.0	-1530.6411014649477
33.0	-3485.140202340671
34.0	-1181.2145375832513
35.0	-1252.0045889369992
36.0	-1636.924762811232
37.0	-1620.0008233109081
38.0	-3271.0658593037933
39.0	-1418.1623421531635
40.0	-681.2767256983041
41.0	-1982.1513756784918
42.0	-2322.898989602588
43.0	-4211.172881357662
44.0	-1275.0962030445967
45.0	-1346.8843793454148
46.0	-2289.5256864900266
47.0	-1407.8014380891564
48.0	-2149.6154736476788
49.0	-1275.6476300803076
50.0	-1524.144702646016
51.0	-2127.444503233676
52.0	-1805.8758289567268
53.0	-2904.627260681685
54.0	-752.2831258324436
55.0	-4227.887922423259
56.0	-1300.8858847471945
57.0	-630.3356490121178
58.0	-4294.951444859594
59.0	-1858.5529162097366
60.0	-3874.8717888512047
61.0	-272.15942785536765
62.0	-3263.2102768286004
63.0	-1753.4642267382492
64.0	-355.7737688285535
65.0	-2402.164945107014
66.0	-2787.9330093486615
67.0	-1529.0941040798702
68.0	-1107.0336416767823
69.0	-1329.564032923932
70.0	-1447.0915116987294
71.0	-3384.363240833867
72.0	-3341.595317069794
73.0	-1317.9832308853374
74.0	-940.6517726429939
75.0	-1090.0593863789313
76.0	-596.6102393103599
77.0	-383.3833366270343
78.0	-1516.1136722143997
79.0	-2591.474424218758
80.0	-3669.1415458116003
81.0	-608.6797751498647
82.0	-1580.9350616111985
83.0	-1993.8229374222738
84.0	-2249.8209589205258
85.0	-3677.21056257592
86.0	-2966.1685719691704
87.0	-722.5100471667844
88.0	-888.2275711583832
89.0	-2018.770017189642
90.0	-1349.0907174883419
91.0	-2938.0342366909726
92.0	-2985.0608821980472
93.0	-175.50792946507283
94.0	-1294.7349300941983
95.0	-8493.950151409956
96.0	-1553.0982745735387
97.0	-1667.762080472064
98.0	-1169.5392301343302
99.0	-3288.7628997134084
100.0	-2483.2291360409604
101.0	-1665.388860842997
102.0	-3279.0265459296847
103.0	-836.7959688999051
104.0	-820.3059049777869
105.0	-1030.9246765873534
106.0	-2694.1183104289316
107.0	-3447.0059562583415
108.0	-1147.1335552579055
109.0	-2566.8995529011904
110.0	-974.7599622496239
111.0	-2494.9359616867523
112.0	-1537.8012544851206
113.0	-1858.1991232788434
114.0	-1604.902055772876
115.0	-1321.5301002226508
116.0	-1811.0402470343438
117.0	-1311.6376657673293
118.0	-606.0339453499724
119.0	-2057.15761873355
120.0	-2174.7721059806886
121.0	-557.9789037043358
122.0	-1899.9768528692275
123.0	-1844.892433336938
124.0	-3009.191590049855
125.0	-1370.6905722693773
126.0	-4075.0486285013685
127.0	-2278.2201107660053
128.0	-2442.450454159971
129.0	-1068.664717333971
130.0	-1506.2108795035554
131.0	-2180.317115352311
132.0	-968.2547640973884
133.0	-1862.4592434650951
134.0	-3263.7313246883305
135.0	-1974.6005491830956
136.0	-4030.46227086408
137.0	-2230.8767461606703
138.0	-4017.2351051041232
139.0	-5646.019582265546
140.0	-1746.3992680136366
141.0	-1831.4142948837143
142.0	-4072.7397935558824
143.0	-1922.4203923530688
144.0	-463.6152202160426
145.0	-1462.35700874306
146.0	-1312.8796942907572
147.0	-3988.4612959467836
148.0	-3105.8791053367113
149.0	-2792.4083036180905
150.0	-2333.0824259952988
151.0	-919.7607781273138
152.0	-1887.269790903216
153.0	-2126.429083650118
154.0	-747.2725879029074
155.0	-1455.8072193110954
156.0	-673.7525635722579
157.0	-3161.3088682523717
158.0	-4801.286918100464
159.0	-2256.2083090976616
160.0	-3117.625274640364
161.0	-1146.2448568415782
162.0	-4385.676577033403
163.0	-149.11394613611975
164.0	-4937.57060405604
165.0	-1297.3750286118525
166.0	-2381.5899596326585
167.0	-1582.8964424550627
168.0	-4145.519465183722
169.0	-2752.543486388523
170.0	-5631.609560233459
171.0	-4031.496081454253
172.0	-679.5460200965935
173.0	-334.7965749877379
174.0	-2346.4280542856736
175.0	-6273.29768032988
176.0	-2819.1513899089755
177.0	-2581.6466950360427
178.0	-2773.9840106334464
179.0	-2420.9047407128605
180.0	-559.7749115936947
181.0	-1971.6141049050273
182.0	-2681.976099136482
183.0	-2145.5683096525254
184.0	-2666.2697788211135
185.0	-2405.850269680578
186.0	-1685.3206228955105
187.0	-3412.6873797591084
188.0	-4018.198461690308
189.0	-1200.510619978468
190.0	-1827.8740903203636
191.0	-2052.300439716764
192.0	-3274.731419445039
193.0	-2728.6676204911123
194.0	-4799.827859231568
195.0	-70.0200036221525
196.0	-916.8283958051204
197.0	-3856.7336627205327
198.0	-2750.12339328483
199.0	-1675.9224055743969
200.0	-3548.9286777568173
201.0	-2405.3860419953976
202.0	-2136.474133687082
203.0	-4070.1493844886168
204.0	-1767.008937767054
205.0	-2901.555401403336
206.0	-5398.647174755493
207.0	-916.431518185587
208.0	-2770.772538719433
209.0	-2856.57696953459
210.0	-2015.3538889036274
211.0	-3915.8858457370143
212.0	-2315.8321070784255
213.0	-7732.781996357067
214.0	-358.68021458924954
215.0	-4877.59771218871
216.0	-1973.495219610968
217.0	6.698703257269713
218.0	-1784.2248663010546
219.0	-933.5616270916305
220.0	-3861.385126001747
221.0	-1688.431358685867
222.0	-906.4187365935791
223.0	-2484.5555358013953
224.0	-3415.791286275354
225.0	-3934.7852805267107
226.0	-2155.5276713443986
227.0	-2177.92045311797
228.0	-3392.4887954944293
229.0	-1177.9356370136138
230.0	-4799.047618818197
231.0	-2615.5335655693275
232.0	-7316.068181035224
233.0	-2266.331241440566
234.0	-6165.5841304905125
235.0	-1602.586088391754
236.0	-5972.775874394348
237.0	-740.6273785012347
238.0	-3371.1223868951515
239.0	-2972.9919486741605
240.0	-1602.5112352459573
241.0	-3807.45129324139
242.0	-2528.065677675379
243.0	-1274.8311839530666
244.0	-1129.068121975977
245.0	-1595.9169998724708
246.0	-2379.113455128135
247.0	-3897.4555723931885
248.0	-874.4208114388247
249.0	-5346.291278596471
250.0	-2972.0405825848134
251.0	-2693.501417196021
252.0	-1890.0243414156328
253.0	-3310.290476710389
254.0	-1981.4283645353541
255.0	-1482.442330862098
256.0	-5036.354481542296
257.0	-9297.741875841197
258.0	-3267.8374054526885
259.0	-3635.0111994652643
260.0	-4144.198360536189
261.0	-2334.231073135654
262.0	-5572.467792142742
263.0	-4333.288133851238
264.0	-2189.850213188488
265.0	-594.4947716643687
266.0	-3275.925255736041
267.0	-3450.8448654767353
268.0	-4733.637361611788
269.0	-2507.042351317361
270.0	-4548.193392304183
271.0	-2556.5030636074484
272.0	-3365.8166278670674
273.0	-4086.0072214028423
274.0	-2394.6857564196644
275.0	-7204.010409752478
276.0	-1812.6981332509442
277.0	-1281.5901905381647
278.0	-2513.624099817446
279.0	-3739.105672425677
280.0	-4386.468304717739
281.0	-3809.1360594865573
282.0	-5380.588423085889
283.0	-5672.426663146988
284.0	-5190.907783209782
285.0	-4914.6815618388
286.0	-2559.0345739286413
287.0	-4579.406382397747
288.0	-1159.6594978486792
289.0	-6930.285181334645
290.0	-5015.0829932632305
291.0	-3771.128904468424
292.0	-2315.782888919364
293.0	-1504.8050254396462
294.0	-4890.008458540599
295.0	-4715.9052070430525
296.0	-2410.7696115874414
297.0	-3155.314689264445
298.0	-2625.4853788072037
299.0	-3880.0034299633558
